dataset_name,row_count,missing_source_count,missing_notes_count,stale,freshness_days,required_for_publish,completeness_score,last_updated
candidates,10,0,0,False,,True,1.0,2026-05-26
election_admin,8,0,0,False,,False,1.0,2026-05-26
environment_polls,31,0,0,False,,True,1.0,2026-05-26
events,18,0,0,False,,False,1.0,2026-05-26
finance,5,0,0,False,,True,1.0,2026-05-26
historical_2022_county_results,24,0,0,False,,False,1.0,2026-05-26
historical_2022_primary_results,4,0,0,False,,True,1.0,2026-05-26
markets,6,0,0,False,0,True,1.0,2026-05-26
polls,0,0,0,False,0,True,1.0,2026-05-26
source_checks,34,0,0,False,,False,1.0,2026-05-26
wager_settings,5,0,0,False,,False,1.0,2026-05-26
