pollster,sponsor,start_date,end_date,release_date,sample_size,population,measure,option,pct,source_url,notes,days_old,poll_weight,measure_group,sign,signed_pct,weighted_signed_pct,last_updated
Gonzales Research & Media,Statewide Maryland poll,,,2025-01-07,808,likely voters,job_approval,approve,61.0,https://marylandmatters.org/2025/01/07/poll-taxes-to-erase-deficits-pose-political-problem-for-moore/,January 2025 Gonzales statewide poll on Wes Moore approval.,504,0.05468078051889236,job_approval,1.0,61.0,3.335527611652434,2026-05-26
Gonzales Research & Media,Statewide Maryland poll,,,2025-01-07,808,likely voters,job_approval,disapprove,28.0,https://marylandmatters.org/2025/01/07/poll-taxes-to-erase-deficits-pose-political-problem-for-moore/,January 2025 Gonzales statewide poll on Wes Moore approval.,504,0.05468078051889236,job_approval,-1.0,-28.0,-1.531061854528986,2026-05-26
Gonzales Research & Media,Statewide Maryland poll,,,2025-01-07,808,likely voters,job_approval,no_opinion,11.0,https://marylandmatters.org/2025/01/07/poll-taxes-to-erase-deficits-pose-political-problem-for-moore/,January 2025 Gonzales statewide poll on Wes Moore approval.,504,0.05468078051889236,job_approval,0.0,0.0,0.0,2026-05-26
Gonzales Research & Media,Statewide Maryland poll,2025-03-05,2025-03-09,2025-03-12,804,likely voters,job_approval,approve,55.0,https://marylandmatters.org/2025/03/12/poll-moore-job-approval-above-50-but-continues-to-slide/,March 2025 Gonzales statewide poll on Wes Moore approval.,440,0.07894168281742564,job_approval,1.0,55.0,4.34179255495841,2026-05-26
Gonzales Research & Media,Statewide Maryland poll,2025-03-05,2025-03-09,2025-03-12,804,likely voters,job_approval,disapprove,36.0,https://marylandmatters.org/2025/03/12/poll-moore-job-approval-above-50-but-continues-to-slide/,March 2025 Gonzales statewide poll on Wes Moore approval.,440,0.07894168281742564,job_approval,-1.0,-36.0,-2.841900581427323,2026-05-26
Gonzales Research & Media,Statewide Maryland poll,2025-03-05,2025-03-09,2025-03-12,804,likely voters,job_approval,no_opinion,9.0,https://marylandmatters.org/2025/03/12/poll-moore-job-approval-above-50-but-continues-to-slide/,March 2025 Gonzales statewide poll on Wes Moore approval.,440,0.07894168281742564,job_approval,0.0,0.0,0.0,2026-05-26
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,job_approval,approve,52.0,https://marylandmatters.org/2025/11/04/poll-moore-job-approval-remains-steady-even-as-independent-voters-trend-away/,November 2025 UMBC poll on Wes Moore approval.,203,0.31149788813268564,job_approval,1.0,52.0,16.197890182899652,2026-05-26
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,job_approval,disapprove,44.0,https://marylandmatters.org/2025/11/04/poll-moore-job-approval-remains-steady-even-as-independent-voters-trend-away/,November 2025 UMBC poll on Wes Moore approval.,203,0.31149788813268564,job_approval,-1.0,-44.0,-13.705907077838168,2026-05-26
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,job_approval,no_opinion,4.0,https://marylandmatters.org/2025/11/04/poll-moore-job-approval-remains-steady-even-as-independent-voters-trend-away/,November 2025 UMBC poll on Wes Moore approval.,203,0.31149788813268564,job_approval,0.0,0.0,0.0,2026-05-26
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,direction_of_state,right_direction,40.0,https://marylandmatters.org/2025/11/04/poll-moore-job-approval-remains-steady-even-as-independent-voters-trend-away/,November 2025 UMBC poll on state direction.,203,0.31149788813268564,direction_of_state,1.0,40.0,12.459915525307427,2026-05-26
